"name","samaksa","tips","statuss","vertejums","klase","garums","symb","latitude","longitude","desc","id","whatjson","apraksts","datums"
"Atpūtas vieta pie Salaiņa ezera","bezmaksas","pikniks","slikts","standarta","vidēja",,"Campground",57.577087,26.160507,"Atpūtas vieta pie ezera. Nedaudz piedrazots, vieta īsti nav pa ceļam nekur, ir tikai galds, nekā laba","none","none",,"06/24/2015"
"Atpūtas vieta pie Soročkas ezera","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",56.253703,27.27435,"Ezera krastā atpūties koka lapenē ar iekārtotu ugunskura vietu.","none","none",,
"Atpūtas vieta pie Šostu ezera","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",56.380888,27.637155,"Ezera krastā atpūties koka lapenē ar iekārtotu ugunskura vietu.","none","none",,
"Atpūtas vieta pie Spiciera ezera","bezmaksas","pikniks","parbaudits","rekomendets","vidēja",,"Campground",57.4233,25.96233,"Atpūtas vieta pie ezera, ir gan ugunskura vieta, gan malka. Jauka un klusa vietiņa, tīra, labiekārtota. Savdabīgs un interesants ezers. Rekomendējam!","atputa-spiciera","none","true","06/24/2015"
"Atpūtas vieta pie Spicu tilta","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",57.672529,25.996992,"Atpūtas vieta pie Gaujas ar lapeni.","none","none",,
"Atpūtas vieta pie Suķiera ezera","bezmaksas","pikniks","parbaudits","standarta","vidēja",,"Campground",57.851345,25.857321,"Atpūtas vieta pie ezera. Ir galdiņš, nakšņošanai piemērota vieta","none","none",,
"Atpūtas vieta pie Ūdriņām","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",57.621014,25.678421,"Atpūtas vieta pie Gaujas.","none","none",,
"Atpūtas vieta pie Vadzola ezera","bezmaksas","pikniks","parbaudits","standarta","vidēja",,"Campground",56.816678,26.189864,"Ezera krastā atpūties koka lapenē ar iekārtotu ugunskura vietu. Ļoti patīkama un saulaina vietiņa, telti varētu būvēt","vadzols","none",,"07/25/2015"
"Atpūtas vieta pie Vaidavas ezera","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",57.555377,27.11042,"Atpūtas vieta pie Vaidavas ezera.","none","none",,
"Atpūtas vieta pie Valda ezera","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",57.749518,25.773787,"Atpūtas vieta pie ezera.","none","none",,
"Atpūtas vieta pie Vārmes","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",56.865245,22.146794,"Atpūtas vieta pie ūdenstilnes","none","none",,
"Atpūtas vieta pie Vorcu ezera","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",56.371814,27.746079,"Ezera krastā atpūties koka lapenē ar iekārtotu ugunskura vietu","none","none",,
"Atpūtas vieta piecu ceļu krustā","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",56.836104,23.696597,"Ziemassvētku kauju vietā atpūties koka lapenē ar galdu, soliem un iekārtotu ugunskura vietu.","none","none",,
"Atpūtas vieta Piļkas","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",56.419019,25.934223,"LVM uzturēta piknika un atpūtas vieta pie ceļu sazarojuma. ","none","none",,
"Atpūtas vieta Raktais Ceļš","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",56.155891,26.209378,"LVM uzturēta atpūtas un piknika vieta pie ceļu krustojuma, neliels dīķītis","none","none",,
"Atpūtas vieta Ramata","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",57.923119,24.972388,"Labiekārtota atpūtas vieta pie Salacas upes, iespējams būvēt telti. ","none","none",,
"Atpūtas vieta Riebiņu ezers","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",57.374589,24.963482,"LVM atpūtas vieta pie Riebiņu ezera. Tuvumā - pilskalns un ozolu meži.","none","none",,
"Atpūtas vieta Rozēnu tilts","bezmaksas","pikniks","parbaudits","standarta","vidēja",,"Campground",57.885608,24.646828,"Labiekārtota atpūtas vieta pie Salacas upes, iespējams būvēt telti. Divi galdi viens pie otra, ceļmalā. Telts vieta varbūt viena, pie pašas upes. Nekas īpašs, bet palikt varētu.","atputa-rozenu","none",,"02/08/2015"
"Atpūtas vieta Sasaļu mežā","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",55.927549,26.30735,"Peldvieta dabas liegumā pie Sasaļu ezera, netālu no Sventes un Egļukalna","none","none",,
"Atpūtas vieta Staiceles pilsēta","bezmaksas","pikniks","slikts","standarta","vidēja",,"Campground",57.833636,24.74187,"Ne īpaši omulīgi. Pilsēta, nekā tāda, no ceļa grūti. (Labiekārtota atpūtas vieta pie Salacas upes, iespējams būvēt telti)","none","none",,
"Atpūtas vieta Vasas","bezmaksas","pikniks","parbaudits","standarta","vidēja",,"Campground",57.52097,24.37807,"Gigantisks bezmaksas kempings netālu no Tūjas, galdi, ugunskura vietas. Uztur Latvijas Valsts Meži. Ir arī tualetes. Atrodas tieši pie jūras, visas vietas ir attālu viena no otras, taču teritorija tik liela, ja ja vajag, vietas vienmēr būs. Vienīgais mīnuss, ka populāra vieta, ļoti daudz ļaužu, naktī mēdz ballēties","atputa-tuja","none",,
"Atpūtas vieta Vecvietas","bezmaksas","pikniks","parbaudits","rekomendēts","vidēja",,"Campground",57.877866,24.591234,"Skaista, plaša un labiekārtota atpūtas vieta pie Salacas upes, iespējams būvēt teltis, četri galdi, attālu viens no otra, grila vietas, tualete, malka. Skaista vieta, viegli pieejama no ceļa puses un no upes","atputa-vecvietas","none",,"02/08/2015"
"Atpūtas vieta Vīķi","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",57.860938,24.797474,"Labiekārtota atpūtas vieta pie Salacas upes, iespējams būvēt telti. ","none","none",,
"Atpūtas vieta Virši","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",57.880382,24.802305,"Labiekārtota atpūtas vieta pie Salacas upes, iespējams būvēt telti. ","none","none",,
"Atpūtas vieta Zemenīte","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",55.88645,26.76511,"Dabas parks Daugavas loki - pļavā ainava un nogāze uz Daugavu, piknika un atpūtas vieta lielākai kompānijai","none","none",,
"Atpūtas vietas pie Niedrāja ezera","bezmaksas","pikniks","parbaudits","rekomendets","vidēja",,"Campground",57.431235,25.974883,"Vairākas labiekārtotas atpūtas vietas pie Niedrāja ezera, nodalītas nelielas peldvietas ar laipām u.c. Ezers apbraucams ar riteni. Ir ugunskura vietas, malka, ļoti skaista un patīkama vieta kur pavadīt dienu. Rekomendējam!","niedraja-ezers","none","true","06/24/2015"
"Atpūtas vietas pie Segliņu ezera","bezmaksas","pikniks","parbaudits","standarta","vidēja",,"Campground",57.096683,22.262252,"Atpūtas vieta ezera ziemeļu galā, piebraukšana pa nelielu meža celiņu. Diezgan patumša vieta. Ir galds un ugunskura vieta. Nekas īpaši rekomendējams","none","none",,"04/12/2015"
"Atpūtas vietas pie Segliņu ezera","bezmaksas","pikniks","slikts","standarta","vidēja",,"Campground",57.087789,22.262981,"Drīzāk neliela izgāztuve nevis atpūtas vieta. Labiekārtots šeit nekas nav. Izņēmām.","none","none",,"04/12/2015"
"Augstrozes pilskalns","bezmaksas","pikniks","parbaudits","standarta","viegla",,"Campground",57.51429,25.013423,"Jauka un sakopta vieta, kur piestāt pa ceļam un apēst maizītes. Ir neliela taka ap pilskalnā esošajām drupām, un skats uz ezeru","augstrozes-pilskalns","none","true","04/26/2015"
"Balvu vecais parks","bezmaksas","pikniks","parbaudits","standarta","vidēja",,"Campground",57.13218,27.229092,"Balvu vecais parks atrodas ezera krastā. Atpūties labiekārtotajā piknika vietā no ezerā esošās pontona tipa laipas vari makšķerēt un peldēties. Neskatoties uz nosaukumu, vieta tiešām jauka gan pusdienām, gan teltošanai, tieša piekļuve ūdenim, ļoti daudz nodalītu vietu ar galdiņiem, noteikti kāda no tām būs arī brīva. ","balvu-parks","none",,"07/19/2015"
"Bārbaļu pussala","bezmaksas","taka","slikts","standarta","vidēja",,"Trail Head",56.6090665,26.3977308,"Nav nekādu pazīmju, ka tuvumā ir bijusi kāda taka. Grūti piebraukt. (Vecais -- Dabas takas svarīgākie apskates objekti – dažādas nozīmes akmeņi, seni linu mārki, elku liepa, skats uz Teiču purvu, akmeņu krāvumi, melnā stārķa ligzda, neolīta laika apmetnes. Bārbaļos var sastapt visus Latvijā satopamos dzīvniekus un daudzas putnu sugas)","none","none",,"07/25/2015"
"Bārtas dabas taka","bezmaksas","taka","slikts","standarta","vidēja",,"Trail Head",56.389987,21.232324,"Dabas izziņas taka no atpūtas pilsētiņas 'Ods' līdz Dūkupju ūdenskritumam","none","none",,
"Bauskas dabas taka","bezmaksas","taka","slikts","standarta","vidēja",,"Trail Head",56.4062587,24.1792846,"Grūti noaukt šo par taku, drīzāk vienkārši ceļš līdz pilij. Vecais apraksts: Staigājot pa dabas parka Bauska pastaigu taku Jūs varat aplūkot Pētera akmeni, uzkāpt Bauskas pils tornī, aizstaigāt līdz Lielupes sākumam pēc burvju ūdens malka.","bauskas","none",,
"Bebru taka","bezmaksas","taka","parbaudits","standarta","viegla",0.5,"Trail Head",57.278229,27.079416,"Neliela taka gar Pededzes upi, dažas piknika vietas, jaukākā ir otrā galā, pie bānīša maršruta. Taka ir īsa un visai jauka, taču nevarētu teikt, ka īpaša brauciena vērta. Ja esat tepat blakus, piestājiet izlocīt kājas. ","bebru","none",,
"Bezdibeņa ezera taka","bezmaksas","taka","parbaudits","rekomendets","vidēja",,"Trail Head",56.905859,22.394389,"Ļoti jauka, bet īsa purva laipa pie bezdibeņa ezera. Garām braucot notekti piestājet, laipas ir braucamas arī ar ratiem. Patīkams.","bezdibena-ezera-taka","none","true","04/05/2014"
"Bramberģes atpūtas vieta","bezmaksas","pikniks","slikts","standarta","vidēja",,"Campground",56.635555,23.58709,"Vieta ir ceļa malā un diezgan piesārņota. Labākajā gadījumā ieiet tualetē vai apēst pusdienas, bet nekādi ne nakšņot. Atpūties kādā no piknika vietām ar galdiem, soliem un iekārtotu ugunskura vietu.","none","none",,
"Burtnieku ez. polderu tornis","bezmaksas","tornis","parbaudits","standarta","vidēja",,"Oil Field",57.748807,25.2911708,"Nesen uzbūvēts skatu tornis pie Burtnieka. <a href='http://www.normis.info/dodies/burtnieku-ezers'>Plašāka informācija</a>","polderu","none",,
"Burtnieku Vīsraga tornis","bezmaksas","tornis","slikts","standarta","vidēja",,"Oil Field",57.6971,25.29031,"Putnu tornis pie Burtnieka ezera, dabas takas galā. <a href='http://www.normis.info/dodies/burtnieku-ezers'>Plašāka informācija</a>","burtnieku-taka","none",,"06/08/2015"
"Bušnieki","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",57.438672,21.661681,"Atpūtas vieta","none","none",,
"Ceļa mala","bezmaksas","pikniks","parbaudits","standarta","vidēja",,"Campground",56.415119,21.2352,"Atpūtas vieta lielceļa malā, diez vai gribēsiet šeit būvēt telti, bet piestāt un apēst maizītes zem nojumes šeit var","atputa-celmala","none","true","08/30/2014"
"Cenas tīreļa laipa","bezmaksas","taka","parbaudits","rekomendets","grūta",6,"Trail Head",56.862713,23.78864,"Šī ļoti reti apmeklētā purva laipa ir labā stāvoklī, taču pilnā garumā ir visai gara (6km). Ir gan tornis, gan informācijas stendi ar bildēm","cenas-tirela-taka","none","true","03/16/2014"
"Cenas tīreļa tornis I","bezmaksas","tornis","parbaudits","standarta","vidēja",,"Oil Field",56.8621035,23.7940049,"Tornis ar skatu uz kūdras lauku","none","none",,
"Cenas tīreļa tornis II","bezmaksas","tornis","parbaudits","standarta","vidēja",,"Oil Field",56.8527813,23.8253741,"Tornis purva vidū.","none","none",,
"Cieres dabas taka","bezmaksas","taka","slikts","standarta","viegla",0.41,"Trail Head",57.16236,25.66316,"Papildināts - ļoti veca, nolietota, aizlaista taka. Laipas sabojātas un sapuvušas, piknika vieta izdemolēta. Vecais apraksts: Neliela, 800m gara dabas taka, pie Taurenes Nēķēna muižas. Taka ved gar Gaujas palieni, pussalā ierīkota atpūtas vieta","none","none",,"06/24/2015"
"Ciriša ezera upursalas taka","bezmaksas","taka","parbaudits","rekomendets","vidēja",1.8,"Trail Head",56.131985,26.9898,"Upursala ir lielākā no Ciriša ezera salām. Uz salu doties var noīrējot laivu kādā no mājām. Pašam ar savu laivu vislabāk izbraukt no Aglonas estrādei aizmugurē esošās publiskās peldvietas. Uz salas esošā dabas taka ir viena no interesantākajām un daudzveidīgākajām takām Latvijā. Takas sākumā ir atpūtas vieta piknikam.","cirisa-ezera-taka","none","true","08/10/2014"
"Cīrulīšu dabas taka","bezmaksas","taka","parbaudits","standarta","vidēja",,"Trail Head",57.30722,25.2213,"Ļoti jauka taka, ar smukiem skatiem uz Gauju, tās vecupēm, alām. Dažādas grūtības posmi, ir varianti iet īsākus un garākus maršrutus. Sākums ir pie kempinga/laivu bāzes Žagarkalns, tur var atstāt auto, un paiet garām maksas teritorijai, tajā neieejot","cirulisu","none",,
"Čužu purva taka","bezmaksas","taka","parbaudits","rekomendets","vidēja",3,"Trail Head",57.02638,22.78538,"3Km taka, no kuras 700m ir koka laipas. Tepat atrodami arī sēravoti.","cuzu-purva-taka","none","true","05/24/2014"
"Dabas lieguma 'Dunika' skābaržu audze","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",56.240102,21.403041,"Atpūtas vieta dabas takas (laipas) galā, ceļa malā","none","none",,
"Dabas liegums 'Gaujienas priedes'","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",57.508925,26.401433,"Vecs priežu mežs ar iestaigātām takām.","none","none",,
"Dabas parks Balkanu kalni","bezmaksas","taka","slikts","standarta","vidēja",,"Trail Head",57.0692941,27.5828509,"Kādreiz varbūt arī bijis uzsvars uz takām, šobrīd ejot bija sajūta, ka tas ir vairāk kempings/slēpošanas trase un takas ir tikai izpļauts celiņš ap teritoju. (Agrāk: Koka un akmens skulptūras. Visas 3 takas aizved pie dziļas ielejas, kur, kā vēsta leģenda, ir nogrimusi baznīca)","none","none",,
"Daugavgrīvas mols","bezmaksas","taka","parbaudits","standarta","vidēja",,"Trail Head",57.04642,24.02154,"Norādītajā vietā ierīkota autostāvvieta, un iespējams doties pa maršrutu līdz Daugavgrīvas molam. Daudzi nezin kā šeit nokļūt, taču maršruts ir interesants, pa ceļam ir gan veci bunkuri (paņemiet lukturīti), gan interesantas krasta konstrukcijas, gan skaista bāka, un protams arī pats mols, pa kuru var aiziet līdz galam, un vērot kuģu braukšanu Daugavā. <a href='http://www.normis.info/dodies/2013/09/09/daugavgrivas-mols'>Plašāka informācija</a>","daugavgriva","none",,
"Daugavgrīvas tornis","bezmaksas","tornis","parbaudits","standarta","viegla",,"Oil Field",57.039653,24.0131503,"Skatu platforma Daugavgrīvā. Tehniskais stāvoklis nav pārliecinošs, tāpēc jābūt uzmanīgam. Pieejams ar ratiņiem","none","none",,
"Dauģēnu dabas taka","bezmaksas","taka","neparbaudits","standarta","grūta",13,"Trail Head",57.87415,24.99788,"Skaņākalna dabas takas galā sākas Dauģēnu taka. Kopā ar Skaņākalna taku, iespējams iet pat 13km garu maršrutu, kas esot Latvijā garākā labiekārtotā dabas taka. Komplektā ar Skaņākalna parku un takām, šis ir ļoti liels un interesants pastaigu komplekss. Taka atjaunota 2015. gada jūlijā!","none","daugenu",,
"Dendroloģiskais parks Vāgneris","bezmaksas","parks","slikts","standarta","vidēja",,"Trail Head",56.9913145,23.1353348,"Parks ar dažādām pastaigu takām, kur aplūkot svešzemju koku sugas. Takas pieejamas bez maksas","none","none",,
"Driksnis","bezmaksas","pikniks","parbaudits","standarta","vidēja",,"Campground",56.68033,26.21082,"Pie Driksnas ezera ierīkota piknika vieta, ar galdu, ugunskura vietu un pat nelielu mājiņu, kurā paēst, ja līst lietus. Tepat peldvieta ar laipu.","driksnis","none",,
"Drusku pilskalna taka","bezmaksas","taka","parbaudits","standarta","vidēja",2,"Trail Head",57.59448,26.93333,"Dabas taka sākas pie stāvlaukuma ļoti stāvas nogāzes pakājē. Uzkāpjot jau pirmajā virsotnē paveras skats uz Alūksnes augstieni Latvijā un Hānjas augstieni Igaunijā, kā arī uz Igaunijas augstāko virsotni Munameģi, tad pa meža ceļu taka ved uz Drusku pilskalnu, šķērso to un ved atkal lejā uz Pilskalna ezeru. Drusku pilskalns ir viens no visstāvākajiem Latvijas pilskalniem.","drusku-pilskalns","none","true","07/11/2014"
"Dunduru pļavu tornis","bezmaksas","tornis","parbaudits","standarta","viegla",,"Oil Field",56.8335449,23.4011805,"Dunduru pļavas īpašas ar to, ka šeit ganās savvaļas govis, un te ir atkal salīkumota, kādreiz par grāvi pārvērstā Slampes upe. Te arī skatu tornis, un var izbraukt interesantu velo apli gar šo vietu.","dunduru","none",,
"Dunikas purva taka","bezmaksas","taka","parbaudits","standarta","grūta",5.5,"Trail Head",56.280701,21.382775,"Savdabīga, ļoti gara taka, pāri Dunikas purvam. Maršruts ir vairākus kilometrus garš, un neiet apļa veidā, tāpēc grūti iziet optimāli. Purva vidū interesanta, un Latvijā unikāla Skābbāržu audze.","dunika","none","true","07/07/2012"
"Dvietes Putnu salas tornis","bezmaksas","tornis","slikts","standarta","vidēja",,"Oil Field",56.0645656,26.1925668,"Skuķu ezera krastā 0,5 km attālumā no informācijas centra uzcelts putnu vērošanas tornis","none","none",,
"Dvietes skatu platforma","bezmaksas","tornis","parbaudits","standarta","vidēja",,"Oil Field",56.06749,26.17743,"Pie Dvietes informācijas centra atrodas skatu platforma ar skatu uz Skuķu ezeru, kā arī tualetes, kas piemērotas invalīdiem, atpūtas vieta ar galdiņiem. Informācijas centrā iespējams sarunāt gidu uz netālu esošajiem putnu torņiem, kurus kartē neesam iekļāvuši, jo tiem nav iespējams piekļūt patstāvīgi.","none","none",,
"Dvietes Skuķu ezera (II) tornis","bezmaksas","tornis","slikts","standarta","vidēja",,"Oil Field",56.065016543,26.220824718,"Nesen atklāts otrs putnu tornis Dvietes palienē","none","none",,
"Dzērves kakls","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",56.880211,26.686533,"Aiviekstes upes krasts veidojies kā garš dzērves kakls 2 km garumā ar daudz krāšņiem ozoliem. Ideāla vieta makšķerēšanai","none","none",,
"Dziļezera-Riebezera taka","bezmaksas","taka","parbaudits","standarta","vidēja",,"Trail Head",57.501761,24.581137,"Taka, kas lokveidā ved pa šauru zemes strēli starp diviem ezeriem. Slapjā laikā vajag guminjiekus, ne visur ir labā stāvoklī. Taka privāta, sākas pie mājām 'Priedītes' - jāpiesakās pie takas īpašniekiem, Tel. rakstīts uz zīmes pie iebraukšanas. Jāmaksā nav, saimnieks draudzīgs. Kā taka tā nav ļoti interesanta, ja vienīgi paskatīties uz vietu starp ezeriem, kur ir ļoti daudz foršu kempinga vietu.","dzilezera-riebezera-taka","none","true","09/14/2013"
"Egļukalna skatu tornis","bezmaksas","tornis","parbaudits","standarta","vidēja",,"Oil Field",55.873201,26.330263,"Lielisks skats no šī ļoti augstā torņa","eglukalns","none","true","08/09/2014"
"Ēkāju kontrabandistu taka","bezmaksas","taka","slikts","standarta","grūta",4.5,"Trail Head",57.91193,24.52878,"Pat ja taka kādreiz bijusi - tagad pat gumijniekiem te nav ko meklēt. (Gājēju taka, kas veidota uz veco meža ceļu bāzes, ved caur Latvijas-Igaunijas pierobežas mežiem. Latviešu un igauņu kontrabandistiem kādreiz nav gājis viegls, jo apmēram 500 m garā posmā jāpārvar visai ekstrēmi šķēršļi: jābrien pa slapjiem brikšņiem, jākāpj pāri kritalām, un jālaipo pa ciņiem, lai nebūtu jāiekrīt dubļos līdz ceļiem. Šajā takā norāžu ir maz, jākuļas cauri pašam, tomēr gandarījums par paveikto arī daudz lielāks, nekā minot labiekārtotu celiņu.)","none","none",,
"Ēkāju ozols un taka","bezmaksas","pikniks","parbaudits","standarta","vidēja",,"Campground",57.911451,24.499336,"Dižozola ēnā izvietots galdiņš, šūpoles. Pļaviņā varētu būvēt teltis. Inventārs pavecs, nolietots, blakus karjers. Ja gadās iemaldīties - varbūt, speciāli braukt diez vai","atputa-ekaju","none",,"02/08/2015"
"Elles kalns","bezmaksas","pikniks","parbaudits","standarta","vidēja",,"Campground",56.75499,22.9264,"Apskatāms 30m garš tunelis, kas 18. gs. beigās pārsegts ar mucveida velvēm. Blakus jauka piknika vieta, taku nav.","elles","none",,
"Embūtes pilskalns","bezmaksas","taka","parbaudits","rekomendets","viegla",,"Trail Head",56.51089,21.8182,"Embūtes pilskalnā ir bezmaksas stāvlaukums, pastaigu taka pa pilskalnu, strauts ar garšīgu ūdeni, un bezmaksas telšu vieta ar galdiņu piknikam. Embūtes centrā ir Info birojs","embute","none",,
"Engures ezera atpūtas vietas","bezmaksas","pikniks","parbaudits","standarta","vidēja",,"Campground",57.25762,23.13675,"Vairāki galdiņi, ugunskura vieta, nojume un tualete jaukā vietā pie ezera. Var ieēst pusdienas pirms vai pēc takas iziešanas, domājam, ka nav problēmu arī palikt teltī","engures-pikniks","none",,
"Engures ezera putnu tornis","bezmaksas","tornis","parbaudits","rekomendets","vidēja",,"Oil Field",57.27163,23.12672,"Putnu vērošanas tornis pie Engures ezera, dabas takas galā","none","none",,
"Engures ezera Z tornis","bezmaksas","tornis","parbaudits","standarta","vidēja",,"Oil Field",57.3178117,23.089361,"Jauns tornis Engures ezera ziemeļu galā pie laivu bāzes. Teritorija ir privāta, īsti nevar saprast vai brīvi šeit var staigāt un kāpt tornī","none","none",,
"Ēvažu stāvkrasts","bezmaksas","taka","neparbaudits","standarta","viegla",0.3,"Trail Head",57.6776887,22.5685313,"Taka Jūs vedīs līdz Ēvažu stāvkrastam, kas slejas iespaidīgu 8-15 metru augstumā virs pludmales. Nokāpjot lejā pludmalē pamanīsiet, ka smiltis ir mitras. Tas ir pateicoties Bažu purva ūdeņiem, kas infiltrējas zemes virskārtā un virspusē izplūst tieši Ēvažu pludmalē. Pateicoties šiem mitruma apstākļiem šajā pludmalē atrodams Latvijā rets abinieks – smilšu krupis.","none","none",,
"Eversmuižas taka","bezmaksas","taka","neparbaudits","standarta","vidēja",,"Trail Head",56.551537,27.884674,"Taka vijas gar gleznainajiem Ilžas (Ludzas) upītes krastiem, pa veco Eversmuižas parku, gar Eversmuižas Sv. Andreja katoļu baznīcu un muižas ēkām līdz Felicianovas muižai un dzirnavām.","none","none",,
"Gārsenes parks","maksas","taka","parbaudits","standarta","vidēja",7,"Trail Head",56.1,25.81126,"Dienvidsusējas upītes krastos pie Gārsenes pils izveidota vesela dabas taku sistēma. Pieejamas telšu vietas nakšņošanai un ugunskura vieta grupas piknikam, kā arī laivu īre nelielam ceļojumam pa upi. Iesakam sākt staigāt no Gārsenes pils, kur tad arī jāpērk biļetes.","garsenes-takas","none","true","08/09/2014"
"Gaujienas taka","bezmaksas","taka","neparbaudits","standarta","grūta",8,"Trail Head",57.516872,26.400275,"Taka atrodas Gaujienā un ierīkota astotnieka veidā. Apskates objekti vairāk saistīti ar kultūrvēsturi, apskatīt iespējams lielāko daļu no Gaujienā esošajiem kultūrvēstures objektiem, kā arī dolomīta atsegumus, gravu un nogāžu mežus, avotus.","none","none",,
"Grebļa kalns","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",56.177783,28.11183,"Pa 30 m augstā Grebļukalna virsotni iet 3km gara pastaigu taka no kuras paveras fantastisks skats uz abās pusēs esošajiem ezeriem.  Uz unikālās osveida reljefa formas augošie skujkoku meži  rada dzīvesvietu Latvijā aizsargājamām dzīvnieku un augu sugām.","none","none",,
"Grebļu kalns","bezmaksas","taka","neparbaudits","standarta","vidēja",3,"Trail Head",56.1787431,28.1144319,"Taka uz šauras strēles starp diviem ezeriem. Dabas liegumā izveidojies īpatnējs mikroklimats, un līdz ar to saglabājies augu sugu komplekss, kas bija raksturīgs Latvijas dabai 4500-2500 gados p.m.ē. Te sastopamas līdz 500 zvīņspārnu sugām, dažas no taureņu sugām ir vienīgās Baltijā.","none","none",,
"Imulas upes taka","bezmaksas","taka","parbaudits","standarta","grūta",5,"Trail Head",57.0126641,22.6245833,"Imula ir viena no Abavas pietekām – līkumota un dažkārt ar stāviem krastiem. Tās garums ir ap 5 km, un tā aizved līdz pat Buses pilskalnam. Taka ir slikti marķēta, un visai aizaugusi, taču šķiet kāds to cenšas lēnām atjaunot. Iešana vietām ir grūta. Pie takas sākuma ir jauka piknika vieta un stāvvieta","imulas-taka","none","true","04/05/2014"
"Indānu gravas taka","bezmaksas","taka","slikts","standarta","vidēja",2,"Trail Head",56.4607341,26.8603959,"Takas sākums atrodas ar mežu apaugušas gravas austrumu nogāzē, bet pārējā daļa – bijušā ezera ielejā. Azarīnes teritorijā izveidotas divas atpūtas vietas – ar šūpolēm un ar galdiņu. Visas takas garumā ir uzstādīti atkritumu konteineri un soliņi. Tiltiņi pāri Ošas upei un Azarīnes avota strautam, informatīvie stendi. Ezera krastā ir skatu laukums. ","none","none",,
"Jāņupītes taka","bezmaksas","taka","parbaudits","standarta","vidēja",,"Trail Head",57.11317,23.03877,"Jauka taka meža vidū. Ieteicamais piebraukšanas ceļa gals no ziemeļiem, netālu no Dreimaņu mājām - ir uzlikta zīme privātīpašums – iedrošinam jūs braukt pa šo ceļu ignorējot (šķiet nevietā novietoto) zīmi.","janupites-taka","none","true","07/20/2014"
"Jaunciems","bezmaksas","pikniks","slikts","standarta","vidēja",,"Campground",57.65295,22.184103,"Te nav nekas, izņemot iespēju legāli piebraukt pie jūras. Pludmale","none","none",,"23/08/2015"
"Jēču taka","bezmaksas","taka","neparbaudits","standarta","vidēja",7,"Trail Head",57.843015,25.447598,"Takā redzēsi virkni unikālu dabas un kultūrvēsturisku veidojumu – Jēču bļodakmeni, Pugu akmeņu krāvumus, Kraujiņu milzakmeni un arī reģionam tipiskus pļavu, mežu un purvu biotopus. Var būt vajadzīgi gumijas zābaki. Sarkanais marķējums (Jēči-Pugas-Grantiņi) – 7 km (3 stundas). Zilais marķējums (Jēči-Pugas) – 2 km (1 stunda). Aplis pa sarkano un zilo marķējumu (Jēči-Pugas–Jēči) – 7 km (3 stundas). Taka ir bezmaksas","none","none",,
"Jēkabpils meža parks","bezmaksas","taka","neparbaudits","standarta","vidēja",,"Trail Head",56.4825,25.85541,"Atpūtas un sportošanas vieta. Tajā iekārtota Veselības taka, volejbola laukumi, šūpoles un kamaniņu kalniņš. Parka DR pusē esošā pludmale Radžu ūdenskrātuves krastā ir labiekārtota","none","none",,
"Jušu dabas taka","bezmaksas","taka","parbaudits","standarta","viegla",,"Trail Head",57.16621,24.85332,"Jauka neliela taka pastaigai ar bērniem. Sāka pie Siguldas pils, izmet nelielu apli pa mežu.","jusu-dabas-taka","none","true","06/01/2014"
"Kalētu dendroloģiskās takas","bezmaksas","parks","neparbaudits","standarta","vidēja",,"Park",56.358114,21.495379,"Dodoties ceļā pa īpaši veidoto dabas taku, apskatāms Ķeizarakmens, kas uzstādīts par godu Krievijas caram Romanovam, iepazīstami diži un veci koki, bet Zaļumplacī atrodams koka skulptūru ansamblis","none","none",,
"Kaltenes kalvas","bezmaksas","taka","parbaudits","rekomendets","vidēja",1.5,"Trail Head",57.458136,22.855719,"Aptuveni pusotra kilometra attālumā no Kaltenes jūrmalas mežā atrodas lieli akmens krāvumi, kas tiek dēvēti par kalvām. Šie ir unikāli veidojumi, jo nekur citur Latvijas piekrastē tie nav sastopami. Apsūnojušie, ar mežu apaugušie vaļņveidīgie pasaules tapšanas liecinieki veidojušies pirms vairākiem tūkstošiem gadu, atkāpjoties Baltijas ledus ezeram. To apskatei ierīkotas speciālas dabas takas","kaltenes-kalvas","none","true","05/04/2014"
